排名,标题,分数,播放量,Up主,Up ID,URL
74,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,898913,43.2万,带枪小女孩weibo,1960460,https://www.bilibili.com/video/av22227629
75,【刘老师】逆天吐槽强势入围金扫帚5项大奖的古装奇幻电影《诛仙Ⅰ》,887273,113.8万,刘老师说电影,79061224,https://www.bilibili.com/video/av93130246
76,1.43G的图片，你要挑战一下手机吗？,885241,95.2万,无能的正義君,172043588,https://www.bilibili.com/video/av92875449
77,【真实录像】轰动全台湾的98年红衣小女孩！,868707,135.3万,蓝星人-ET,47224192,https://www.bilibili.com/video/av93081075
78,处 处 疯,862565,61.8万,我不是青丝,31425423,https://www.bilibili.com/video/av93235434
79,《起风了》我曾将青春翻涌成她，也曾指尖弹出盛夏,852983,53.4万,阿克菌,355853687,https://www.bilibili.com/video/av92908371
80,卡通配乐进化史 (1928 - 2020),851715,41.8万,Vinheteiro,262453663,https://www.bilibili.com/video/av93130677
81,【湖景谷】P4 杀死恶魔的方法就是成为恶魔,847432,32.5万,威尔逊不是歌手,12337738,https://www.bilibili.com/video/av93271148
82,少女骑旋转木马，越骑越高兴，最后干脆自己变成木马《暗芝居：旋转木马》,845796,88.1万,丸子叨叨叨,452309333,https://www.bilibili.com/video/av92056817
83,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,841514,58.5万,废柴家里蹲,3751951,https://www.bilibili.com/video/av3534854
84,华农兄弟：捡个石头，把刀磨利，砍点兄弟家的棕花来吃,841067,188.6万,华农兄弟,250858633,https://www.bilibili.com/video/av93182378
85,快速瘦肚子，日本女生亲身试验，效果显著,840228,17.7万,想穿漂亮小裙子,423501372,https://www.bilibili.com/video/av93352821
86,纯黑《最后生还者》绝地全收集攻略解说 合集补档,835114,49.6万,-纯黑-,585267,https://www.bilibili.com/video/av93176068
87,"这十个软件,让你的电脑舒适度提升1400%",834483,19.7万,飞鱼不在天,17873487,https://www.bilibili.com/video/av91835249
88,25年前的人对中国的期盼,834008,94.9万,凛冬城的冰原狼,280975479,https://www.bilibili.com/video/av88506557
89,【家有儿女】家有骚话！上课？上个屁,827196,49.3万,红豆稀饭中,250648682,https://www.bilibili.com/video/av89256115
90,【 钉 钉 本 钉 ，在 线 求 饶 】,821950,69.4万,钉钉DingTalk,481393564,https://www.bilibili.com/video/av89441613
91,"【肖战】""洗""唰唰——洗白警告",820872,54.9万,碧天蓝钻,7275647,https://www.bilibili.com/video/av93574816
92,被全网封杀的神作！看完后，感受到真正的绝望！,819802,61.1万,中二少年晓凯,2733216,https://www.bilibili.com/video/av93474190
93,男人上厕所的正确打开方式,818977,53.0万,腐国口译室,28727293,https://www.bilibili.com/video/av93495162
94,【全明星】听妈妈的话,818900,44.2万,潮汕好男人,19071708,https://www.bilibili.com/video/av93169666
95,肖战粉丝哭麦后娱乐圈人士的理智分析：“你先别哭了，你爱豆马上就糊”【新更2p人民日报皮下小编(肖战粉丝)被开除事件】,817088,78.2万,游云星旧,339333081,https://www.bilibili.com/video/av93283680
96,【棉花糖杂谈】六岁的小祭你会喜欢吗,816204,42.0万,夏色祭Official,336731767,https://www.bilibili.com/video/av93311243
97,【小缸和阿灿】百万up的创业日记，亲身经历告诉你新媒体创业的那些事,804744,29.5万,小缸和阿灿,37961599,https://www.bilibili.com/video/av93381580
98,【娱乐向】如何利用肖战为自己赚一笔零花钱,802406,39.3万,芷川不萌,407708210,https://www.bilibili.com/video/av93447644
99,肖战227事件全面回顾（时间顺序）肖战到底是如何从让当红流量变成众矢之的？？？,800632,153.3万,恐高的鸟ko,301471039,https://www.bilibili.com/video/av93258444
100,那是我日夜思念深深爱着的人啊,796489,66.7万,徐四的四,361502804,https://www.bilibili.com/video/av92619114
