排名,标题,分数,播放量,Up主,Up ID,URL
33,【Uzi】我的一些往事：与GNR专业上单们的故事,953095,112.6万,Uzi,42619059,https://www.bilibili.com/video/BV1XZ4y1H754
34,再说一遍！ 吃饭 慎 入！,948540,86.6万,东尼ookii,285499073,https://www.bilibili.com/video/BV1RK4y1x7K8
35,【黄龄】#乘风破浪的姐姐#浴室版《芒种》来啦！,944062,109.6万,黄龄,345630501,https://www.bilibili.com/video/BV1zf4y1y77u
36,克苏鲁神话入门，沉入海底8300米后，我看到了地狱的入口《神殿》,943813,76.6万,努力的Lorre,7487399,https://www.bilibili.com/video/BV1NK411W729
37,【前方高能】女人翻译器！,920964,87.1万,文西与阿漆,94281836,https://www.bilibili.com/video/BV1WV411k7jb
38,【过于真实】天 下 老 师 皆 是 一 家,917687,42.4万,枫泽雨畔,130130236,https://www.bilibili.com/video/BV1hv41167xK
39,耗时20小时 燃烧生命烤一整条手撕猪全腿,915746,99.5万,燕子堡BBQ学徒Ray,338927049,https://www.bilibili.com/video/BV17a4y1Y744
40,【罗翔】母亲妻子前妻女友同时落水，你该救谁？,914787,103.7万,罗翔说刑法,517327498,https://www.bilibili.com/video/BV1QZ4y1H7ZV
41,【半佛】为什么能在真鞋店买到假鞋？,912574,117.6万,硬核的半佛仙人,37663924,https://www.bilibili.com/video/BV1CC4y1a7F6
42,能看到第15秒吗？,906846,58.7万,小米酱丶动漫ing,238767396,https://www.bilibili.com/video/BV1cV411k7tB
43,华生：都别动！他手里有枪！,890102,89.7万,逗比的雀巢,5294454,https://www.bilibili.com/video/BV1rC4y1a7in
44,当拖鞋无法让狮子听话时,884798,67.2万,克里米亚野生动物园,590490400,https://www.bilibili.com/video/BV16g4y1q77q
45,《明日方舟》EP - 从那高地上远眺,882170,55.2万,明日方舟,161775300,https://www.bilibili.com/video/BV1La4y1Y7H7
46,【散人】超难度病毒入侵 i wanna坑爹加量加倍！！（上）,880181,46.1万,逍遥散人,168598,https://www.bilibili.com/video/BV1z5411W7rj
47,厨师长教你：“土豆拌茄子”的家常做法，味道很赞，先收藏起来,870777,83.6万,美食作家王刚R,290526283,https://www.bilibili.com/video/BV1VT4y1J7Y8
48,最 强 汤 姆【预告】,862283,81.6万,庄不纯,20530305,https://www.bilibili.com/video/BV1bK4y147en
49,【重大发表】34岁的我脱单了！【绅士一分钟】,859671,59.5万,山下智博,1643718,https://www.bilibili.com/video/BV1VV411k7Tc
50,这逃课水平，专业！,836018,115.4万,天空中的污云,357598071,https://www.bilibili.com/video/BV1e54y1B7G8
51,JOJO 家 长 会,835146,45.1万,木下下下下下下下,35239580,https://www.bilibili.com/video/BV1GA411i7aL
52,大家好！我是川普，我入驻B站了！我73岁了还能当UP主吗？,821870,73.8万,特效小哥studio,3066511,https://www.bilibili.com/video/BV1Ca4y1Y7Le
53,公 开 处 刑,815314,100.4万,吃素的狮子,808171,https://www.bilibili.com/video/BV1LD4y1Q7hv
